size_bytes,size_human,path,id,mimeType
2135761864,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-011.zip,1OLd19daJCwgdZynngqvQ37uIBreM8FU-,application/zip
2135047773,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-019.zip,1OgaMRcOFfDl3Dc_Eb2CvzgBmZsyGSsJk,application/zip
2134024220,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-022.zip,1xpPkv2gOPaaoca1Tcgp-2Sii8JH73oHi,application/zip
2134024220,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-022.zip,1_ZSUOqYOK5lfF_sSKvnEfvffAj4__zuc,application/zip
2134024220,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-022.zip,1y9POv259QBmLowM7u2elRK0nGKhJJs6H,application/zip
2133836070,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-007.zip,1uOu45n5NYyjD2JwPzkYAuLV6sEezCsMt,application/zip
2133836070,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-007.zip,1kPC16S-9_WlegLhJnboPC3S17UOXEwcm,application/zip
2133836070,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-007.zip,1p00EQYrfaQ_2R_oYionqMks5fD9foLYT,application/zip
2133117977,2.0 GB,CURSOS/ASIMOV/Formações em Python & Inteligência Artificial/Formações em Python & Inteligência Artificial-20260529T103415Z-3-004.zip,1RMUaBN3gWhwigCLmmnH9yOSEeBrP0Tz1,application/zip
2132841523,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-013.zip,11crpNhSoyNrUNYeYrSWdl8pCb8cb1bP8,application/zip
2132841523,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-013.zip,1-W5XG1xZ2lkBGyCKtVynoccJRbrVShUm,application/zip
2132841523,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-013.zip,1eUV5zW38CAvYbqJxFC1qJsmoRjYMKD2u,application/zip
2132542463,2.0 GB,CURSOS/ASIMOV/Engenharia de Dados/04 - [TRILHA] Python para Web-20260529T111639Z-3-002.zip,1mk0wisOVGErCMIDDc8ECmIW-SENU3cmE,application/zip
2132468772,2.0 GB,CURSOS/ASIMOV/Formações em Python & Inteligência Artificial/Formações em Python & Inteligência Artificial-20260529T103415Z-3-014.zip,173gIKyH2PC8jNrXGnVNfeCi4-nXyd558,application/zip
2132372564,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-009.zip,1S_ajp1PKsoy0LEtZf-wXM92_eQvlGJ3i,application/zip
2132372564,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-009.zip,1kO9J7fq6SKLvd-e3PAwFVuhMfRPYPEVt,application/zip
2132372564,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-009.zip,1N_utMofhlYLiYNjqlzP39H5oQPsm_RZU,application/zip
2131903666,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-012.zip,1l1o4V_Ivz8O-HuYK2uqc1J08z4tGR1ax,application/zip
2131903666,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-012.zip,1BGDzGXhETH-Txj2GWC38hyrXeGOPBnJK,application/zip
2131903666,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-012.zip,1rjReFjv_cKToL5_WOOj28i5Drrah2lA3,application/zip
2131777817,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-017.zip,1VWiki-2YBuQJVQ8vEWtTzN-HElVYWfXl,application/zip
2131777817,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-017.zip,18FSR9ifsbRdLNu1XVacmYt6G4Ywcw5JP,application/zip
2131777817,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-017.zip,1Rymfe3VGDRxxjUvZUctY2L82vKMftvCv,application/zip
2131668859,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-016.zip,1s9IdtCmVrAJgaUPnfEnMeE6n3XKjY2Wd,application/zip
2131668859,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-016.zip,1uI0uCCOGygAV9SCfgzyhWZIVP-JxmSt0,application/zip
2131668859,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-016.zip,1f2BbpcY-9eonphgDbt-ZaDthz6mjnaYG,application/zip
2130759116,2.0 GB,CURSOS/ASIMOV/06 - [TRILHA] Aprendendo Python-20260529T120724Z-3-001.zip,1h77BBaI8Wy4-zVF6VoVzve49InlXItH3,application/zip
2130264860,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-022.zip,1OxyGEKAxLfz96lEkA5h5L3CXHeiE8OBe,application/zip
2130264860,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-022.zip,1d81O9sVFWpw2tonsP1ogDLG1vaqG9Mmk,application/zip
2129985594,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-005.zip,1Ta1odSpTqgRMWJT-s3o7ORnSimG3QR7p,application/zip
2129985594,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-005.zip,17H_l47wtcWXrCzXxvN7pNA_L5As9XOXi,application/zip
2129985594,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-005.zip,1WbgnPIy3pEHg0sggAgXw_HkiEznNhHlh,application/zip
2129827652,2.0 GB,CURSOS/ASIMOV/Formações em Python & Inteligência Artificial/Formações em Python & Inteligência Artificial-20260529T103415Z-3-007.zip,1WqHKU-PY0xycwWG48eZFMervaawpUmdl,application/zip
2129750669,2.0 GB,CURSOS/ASIMOV/Engenharia de Dados/03 - [TRILHA] Engenharia de Dados-20260529T110445Z-3-002.zip,1m7I-gTvH9K8VjIsjCc6A-ArHTvwOrDCm,application/zip
2129648286,2.0 GB,CURSOS/ASIMOV/Formações em Python & Inteligência Artificial/Formações em Python & Inteligência Artificial-20260529T103415Z-3-008.zip,1ewsBxCQOcOHRQFQkBTkTjPAwz37RMeR1,application/zip
2129530571,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-010.zip,1PRPKqQvwuwCRtnH4n_defTNbA0-4U3sH,application/zip
